Date,BTC,SOL,XRP,LINK,ETH,HYPER,AVAX
2024-02-21,-0.0003496905,-0.0009654318000000004,-0.0003890044,-0.0008115632,-0.0007537166,-0.0,-0.00030746439999999994
2024-02-22,-0.00031542829999999997,-0.0009588768,-0.0006578346000000001,-0.0019700338,-0.0004843768999999997,-0.0,-0.0004136647
2024-02-23,-0.00039214399999999976,-0.0013342566,-0.00044017709999999975,-0.0009690973000000001,-0.0006011146,-0.0,-0.000474628
2024-02-24,-0.0006321269000000001,-0.0011097661,-0.0006941712,-0.0007413385999999998,-0.00018062500000000004,-0.0,-0.0006675586000000002
2024-02-25,-0.00034604959999999995,-0.0015377385000000003,-0.0013668994000000001,-0.0020670987,-0.0019360552,-0.0,-0.0007604462999999999
2024-02-26,-0.0010876602,-0.0027717385,-0.0012864991999999998,-0.0020794766999999996,-0.0013407267000000002,-0.0,-0.0027217520000000005
2024-02-27,-0.0017740173,-0.003371188,-0.0017459819,-0.0029042610999999996,-0.0017643589,-0.0,-0.0020011070000000002
2024-02-28,-0.004017207699999999,-0.0053691882,-0.0013844042,-0.0038148485000000006,-0.0023264361999999995,-0.0,-0.0033844980999999997
2024-02-29,-0.0025292775,-0.0045622022,-0.0024440433000000004,-0.0035659612000000004,-0.0016931422000000006,-0.0,-0.0050152368000000004
2024-03-01,-0.0018940881000000002,-0.003432126500000001,-0.0020486531999999997,-0.0027493724999999997,-0.0010560101999999999,-0.0,-0.0045246292
2024-03-02,-0.0020281646,-0.0030088127999999994,-0.0034217312,-0.0036623375999999997,-0.0011152936,-0.0,-0.004133146199999999
2024-03-03,-0.0029632899999999995,-0.0042016719,-0.0018692168999999998,-0.0026760654,-0.0013952027,-0.0,-0.0030230431
2024-03-04,-0.0030759064000000008,-0.003527878399999999,-0.0026465281,-0.0027251221999999996,-0.0021428742,-0.0,-0.0030485334000000005
2024-03-05,-0.0066089269,-0.0035952311,-0.0039858126,-0.003472963000000001,-0.0033234494,-0.0,-0.0044628143
2024-03-06,-0.0035077366000000002,-0.0029843932,-0.0020521968999999995,-0.0016042759,-0.0021184311,-0.0,-0.0028481353
2024-03-07,-0.0021391606999999996,-0.0028396181,-0.0020825551,-0.0018388171000000002,-0.0013318673000000004,-0.0,-0.0027344303999999996
2024-03-08,-0.0025968730999999996,-0.0033995996999999995,-0.0019769413,-0.0022307292,-0.0015993831999999999,-0.0,-0.0032922313999999993
2024-03-09,-0.0020597853,-0.002881625900000001,-0.0031006833999999996,-0.0037247442000000004,-0.0020572298999999997,-0.0,-0.0051825593
2024-03-10,-0.0017679206999999995,-0.0025334451000000005,-0.0010825949,-0.0029359496000000004,-0.0013086079999999995,-0.0,-0.0029384414
2024-03-11,-0.0015384876,-0.002868666,-0.0028644812000000004,-0.0030739857,-0.0013188537999999999,-0.0,-0.0021418721999999996
2024-03-12,-0.0024144775,-0.0030846142,-0.0020574369,-0.0022087376000000003,-0.0015117352,-0.0,-0.0025783726
2024-03-13,-0.0019284201,-0.004217874100000001,-0.0026235864,-0.004852249700000001,-0.0020848688000000004,-0.0,-0.0031328422000000003
2024-03-14,-0.0023572652000000004,-0.0033340081999999995,-0.0019258174,-0.0031968020999999995,-0.0028563205,-0.0,-0.0019009638000000001
2024-03-15,-0.0013548379999999993,-0.0016297155,-0.0004495699999999998,-0.0014380074000000002,-0.0020386536,-0.0,-0.0008249969999999997
2024-03-16,-0.0005932039999999998,-0.0007395133000000003,-0.0003,-0.0010201861000000002,-0.0014279474,-0.0,-0.0005355485999999999
2024-03-17,-0.0011486224999999997,-0.0012348456000000002,-0.0004346799999999999,-0.0011255838,-0.001773763,-0.0,-0.00030811850000000003
2024-03-18,-0.0006608159,-0.0004348559999999999,-0.00030778209999999997,-0.0014345133,-0.0011567393999999999,-0.0,-0.0017414216999999995
2024-03-19,-0.0011465903,-0.00016311900000000004,-0.0003,-0.000727248,-0.0008821213000000001,-0.0,-0.0016016216999999995
2024-03-20,-0.0003107689000000001,-0.0003,-0.0003,-0.0010673832000000002,-0.0004760151000000001,-0.0,-0.0005837931999999999
2024-03-21,-0.0003090977,-0.00036679979999999996,-0.0014120653000000002,-0.0018243352000000003,-0.0004345368000000001,-0.0,-0.0011628111
2024-03-22,-0.00036069529999999985,-0.00044581349999999977,-0.0012651955999999995,-0.001907227,-0.0005119027999999998,-0.0,-0.0008107323000000005
2024-03-23,-0.0003039079,-0.00046845550000000006,-0.0021248407,-0.0018630477000000005,-0.0003,-0.0,-0.0012050747000000002
2024-03-24,-0.0012975696999999997,-0.0006487654,-0.0022313018,-0.0014714208999999998,-0.00033191700000000004,-0.0,-0.0006265725
